price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
6600000,4,16785,Automatic,White,1991,5,66
7000000,4,14500,Automatic,White,1997,7,70
7000000,4,19000,Automatic,Black,1950,5,66
7200000,4,20000,Automatic,White,1984,5,75
7390000,4,7000,Automatic,Grey,1950,5,80
7475000,4,13000,Automatic,Black,1950,5,80
7475000,4,13000,Automatic,Black,1950,5,80
7500000,4,8000,Automatic,White,1950,5,80
7500000,4,13000,Automatic,Red,2996,4,66
7700000,4,18703,Automatic,White,2993,5,66
8500000,4,32500,Automatic,White,1969,7,71
8900000,4,9000,Automatic,Black,1950,5,93
9900000,4,28000,Automatic,Silver,2995,5,85
10800000,4,20000,Automatic,Red,2998,5,83
12500000,4,9500,Automatic,White,2998,6,83
12900000,4,3000,Automatic,White,2925,7,90
13000000,4,20000,Automatic,Blue,2925,7,90
13100000,4,17000,Automatic,White,2999,7,90
14900000,4,7534,Automatic,Blue,2995,5,75
18500000,4,5000,Automatic,White,2925,5,70
18500000,4,21000,Automatic,Black,3982,4,70
20000000,4,6600,Automatic,White,2996,5,80
355000,5,40000,Manual,White,796,5,35
425000,5,7520,Manual,Red,999,5,28
426999,5,41669,Automatic,Others,999,5,28
430000,5,5790,Manual,Silver,998,5,27
470000,5,2169,Automatic,Grey,998,5,27
530000,5,5923,Manual,White,1248,5,44
535000,5,4295,Manual,Silver,998,5,35
535000,5,41441,Manual,Silver,1196,5,40
550000,5,19000,Manual,Blue,1197,5,32
565000,5,47000,Manual,White,998,5,35
575000,5,40000,Manual,White,1199,5,37
590000,5,74000,Manual,White,1197,5,37
599000,5,35000,Automatic,Silver,1197,5,37
600000,5,10000,Manual,White,1197,5,42
625000,5,58736,Manual,Blue,1197,5,42
639000,5,44300,Automatic,Silver,998,5,35
649000,5,52236,Manual,Silver,1197,5,43
649000,5,52236,Manual,Silver,1197,5,43
650000,5,37003,Manual,Grey,1197,5,43
650000,5,42000,Manual,White,1197,5,37
650000,5,58100,Manual,White,1197,5,45
675000,5,25000,Manual,White,1199,5,35
690000,5,55000,Manual,Blue,1197,5,37
695000,5,18000,Manual,Green,1197,5,60
